Name,Code,Revenue
შ.პ.ს. მშენებელი XXI+,205159193,1336598
ოფის1,204964039,1334528
მეგაგარანტი,205244083,1316310
შპს ლებე,232559718,1307000
Sps sanitaruli dasufTaveba,243911950,1292301
ბ-ბ ჯგუფი-2009,200270189,1281521
შოუ ტექნიკის ცენტრი,205073212,1263331
ჰიდრომშენი,242733930,1249654
ბელი,205172105,1239775
შპს უნივერსალ ჯორჯია 2008,248056516,1231512
მზიური ოცდამეერთე პლიუსი,236097362,1205870
მისტერ ქუუქ,404385713,1198174
შპს ლიდექსი,445395215,1192867
პრაიმი,404856526,1163196
ჯეოვითი,425052284,1158464
UNIVERSE,443854973,1144647
კანტი,200140267,1123104
შპს იბერია ტექ ავტომოტივი,236093473,1095662
ბი-ეს-პი,216454361,1075611
შპს ნობლექსი,204471561,1065240
შპს კავკასუს ონლაინი,211380833,1056938
ლოჯიქალ სისტემზ კომპანი,200242816,1054014
შპს სოკარ ჯორჯია პეტროლეუმი,202352514,1053900
ქომუნალ ტექნოლოჯი,205294411,1038046
კონსტრუქცია,216394168,1034000
წყალტუბოგზასერვისი,221297674,1027100
ვერტექს მანუფაქტურინგი,205161956,1012900
დასასვენებელი სახლი თბილისი,226119223,1008765
ჯი-აი-დი,406032859,1008491
ჯეოონო,416292185,1005946
თბილი სახლი,204976179,1005432
MUEHLBAUER AG,0,999900
ექსიმ ჯორჯია,205042577,995188
მედიკალ სოფტი,404859676,976165
შპს სენტინელი ჯი ემ ჯი,245622429,967824
ივერმედი,211357841,953317
დავითი-100,206339504,945730
შუმერი,400034495,936698
რაგო,201990122,933812
ემ-ბი-ჯი,401956102,933482
ბარდი,205288160,929926
პი.ემ.ჯი,404863803,925468
შპს ჯი აი თი - 2007,202372100,923151
ტერმინალი,220004616,922039
გეო-აპექსი,202223147,887757
შპს იუნაიტედ სეკურიტი,204994159,882938
ჯი-თი-აი,445398855,879305
თეგიკა უნივერსალი,212871383,877946
პროექტმშენკომპანი,204979103,867892
რემმშენი-ბორჯომი,226109626,865669
მკ,230026986,858684
თ.ფ,206126191,856738
საქართველოს საზოგადოებრივი ჯანდაცვის და მედიცინის განვითარების ფონდი,203864586,852956
შპს იბერია ავტოჰაუსი,236081832,850364
ინ-სი,206278516,850173
გუმბათი-1,245567140,842247
სერვისი+,427716475,834221
შპს ნუტრილაინი,205268379,833365
თელა 2012,406061755,824569
ჰესპია მური,200273989,819357
შ.პ.ს. ამირანი,234160421,817829
სამეურნეო სამსახური,200192353,816955
შპს პალადა,205180472,810898
ბაღდათის ავტოგზა,225052732,806555
შპს მდგრადი,225384429,802895
შპს მედაირი,208145979,796144
მობილფონი,201950228,794904
სს აკად. ო. ღუდუშაურის სახ. ეროვნული სამედიცინო ცენტრი,202193544,794170
დნიპრო,245572170,784999
როიალ არტ,404873570,782551
არტ ჯი,205233362,781310
ენ ჯი თი ჯგუფი,204524274,779898
კასა ტრეიდი,206344213,767739
შპს კომუნალური 1,240420184,761804
სადაზღვევო კომპანია ალფა,204568896,759640
გის და დზ საკონსულტაციო ცენტრი გეოგრაფიკი,204920309,753273
SEMEX GEORGIA,404393679,739448
მ.ჯ. ენდ კომპანია,206335287,738269
შპსდ.გ.ევროკომპანი,205244555,730354
ჯეო-ლი,205229411,722207
შპს გეოლოდი,445388161,716999
ინკლაინი,404392536,706158
რ და გ კომპანი,202344187,695000
ბრავო რექორდს,404868639,694645
ვინდლაიფ,216447281,683816
საერთაშორისო სადაზღვევო კომპანია იმედი ელ ინთერნეიშენალ,211358494,677000
სხივი,200214856,672507
ქიმიოთერაპიისა და იმუნოთერაპიის კლინიკა მედულა,205001987,658755
ფორმა,216312915,657262
კავკასუს სეფლაი,404865419,654082
ბესტევრისინგ,224092443,652339
გამომცემლობა ფავორიტი,208151435,650936
WEST  GROUP   XXI,248435750,641870
რამთა,228922921,630079
შპს ჯორჯიანმედი,200207819,629891
ბუროსიტი,204575414,618931
ვაისი,404877193,616900
შ.პ.ს. სეისმომედეგობა+,205263524,614062
ნიუმშენი,401944134,609838
ჰაიდელბერგბეტონ ჯორჯია,204559003,608600
მშენებლობა-პროექტირების ჯგუფი,200267763,606595
ტერექს-XXI,230095777,604188
თელავის ინფრასტრუქტურისა და უზრუნველყოფის სამმართველო,231170675,603049
კალციტი,228538008,594035
შპს გეპოლ,205255980,591164
ქეჩერა,205268681,579578
ცის-ნამი,201950969,578110
კომლენდი,212858852,578107
შპს ენსოლი,205236190,576949
ელიტ-პაპერი,200267344,571645
ემ-კომპანი,204496651,569547
სავარძელი,245548064,564639
ლამფალაში,226528889,558021
ინჟინერი,404873785,556546
