Source,Target,Type,Id,Label,Weight
5151,1696,Undirected,10340,,1
5249,1696,Undirected,10341,,1
5276,1696,Undirected,10342,,3
5277,1696,Undirected,10343,,1
7279,1696,Undirected,10344,,1
7346,1696,Undirected,10345,,1
1824,1698,Undirected,10346,,1
1837,1698,Undirected,10347,,1
1699,1699,Undirected,10348,,3
1700,1699,Undirected,10349,,1
7010,1699,Undirected,10350,,3
7455,1699,Undirected,10351,,5
5421,1700,Undirected,10352,,2
6445,1700,Undirected,10353,,1
6798,1700,Undirected,10354,,1
2119,1701,Undirected,10355,,1
2106,1702,Undirected,10356,,2
3233,1702,Undirected,10357,,1
5041,1702,Undirected,10358,,2
5147,1702,Undirected,10359,,3
5198,1702,Undirected,10360,,1
5325,1702,Undirected,10361,,1
7434,1702,Undirected,10362,,1
1703,1703,Undirected,10363,,4
1704,1703,Undirected,10364,,1
1706,1705,Undirected,10365,,1
1802,1705,Undirected,10366,,1
1803,1705,Undirected,10367,,1
1804,1705,Undirected,10368,,1
2436,1705,Undirected,10369,,1
5320,1706,Undirected,10370,,1
6832,1706,Undirected,10371,,1
7211,1706,Undirected,10372,,1
5075,1707,Undirected,10373,,1
1708,1708,Undirected,10374,,1
5309,1709,Undirected,10375,,1
5310,1709,Undirected,10376,,1
5318,1709,Undirected,10377,,1
6845,1709,Undirected,10378,,1
6912,1709,Undirected,10379,,2
1711,1711,Undirected,10380,,1
5339,1711,Undirected,10381,,1
5343,1711,Undirected,10382,,1
5350,1711,Undirected,10383,,1
5394,1711,Undirected,10384,,1
5463,1711,Undirected,10385,,1
7271,1711,Undirected,10386,,1
7410,1711,Undirected,10387,,2
2478,1712,Undirected,10388,,4
2479,1712,Undirected,10389,,1
2932,1712,Undirected,10390,,1
3370,1712,Undirected,10391,,1
3445,1712,Undirected,10392,,1
3446,1712,Undirected,10393,,1
4021,1712,Undirected,10394,,1
4483,1712,Undirected,10395,,1
4484,1712,Undirected,10396,,1
4535,1712,Undirected,10397,,3
4852,1712,Undirected,10398,,3
4977,1712,Undirected,10399,,2
4978,1712,Undirected,10400,,1
6229,1712,Undirected,10401,,1
6277,1712,Undirected,10402,,4
6294,1712,Undirected,10403,,3
6461,1712,Undirected,10404,,1
6534,1712,Undirected,10405,,1
6684,1712,Undirected,10406,,3
6685,1712,Undirected,10407,,4
6691,1712,Undirected,10408,,1
6710,1712,Undirected,10409,,1
6854,1712,Undirected,10410,,2
6969,1712,Undirected,10411,,6
6970,1712,Undirected,10412,,1
6971,1712,Undirected,10413,,1
6982,1712,Undirected,10414,,1
7059,1712,Undirected,10415,,1
7060,1712,Undirected,10416,,1
7061,1712,Undirected,10417,,1
7126,1712,Undirected,10418,,1
7127,1712,Undirected,10419,,1
7155,1712,Undirected,10420,,1
7271,1712,Undirected,10421,,2
7278,1712,Undirected,10422,,1
7316,1712,Undirected,10423,,4
7355,1712,Undirected,10424,,1
7361,1712,Undirected,10425,,1
7378,1712,Undirected,10426,,1
7438,1712,Undirected,10427,,1
7462,1712,Undirected,10428,,3
7472,1712,Undirected,10429,,3
2008,1714,Undirected,10430,,1
3220,1714,Undirected,10431,,2
3949,1715,Undirected,10432,,1
1894,1716,Undirected,10433,,1
1935,1716,Undirected,10434,,1
3233,1716,Undirected,10435,,1
4173,1716,Undirected,10436,,1
5265,1716,Undirected,10437,,1
5322,1716,Undirected,10438,,4
5330,1716,Undirected,10439,,1
5518,1716,Undirected,10440,,3
6269,1716,Undirected,10441,,6
6798,1716,Undirected,10442,,2
6889,1716,Undirected,10443,,2
6917,1716,Undirected,10444,,4
7251,1716,Undirected,10445,,1
7378,1716,Undirected,10446,,1
4539,1719,Undirected,10447,,1
5447,1719,Undirected,10448,,1
6161,1720,Undirected,10449,,1
6328,1720,Undirected,10450,,1
2321,1722,Undirected,10451,,1
6090,1722,Undirected,10452,,1
6508,1722,Undirected,10453,,1
6529,1722,Undirected,10454,,1
1724,1723,Undirected,10455,,1
1724,1724,Undirected,10456,,1
1725,1724,Undirected,10457,,2
3249,1724,Undirected,10458,,1
5948,1725,Undirected,10459,,1
2546,1726,Undirected,10460,,1
4146,1726,Undirected,10461,,2
4147,1726,Undirected,10462,,1
6769,1726,Undirected,10463,,1
1727,1727,Undirected,10464,,1
1728,1727,Undirected,10465,,2
6642,1727,Undirected,10466,,3
1860,1728,Undirected,10467,,1
2180,1728,Undirected,10468,,1
2196,1728,Undirected,10469,,3
2393,1728,Undirected,10470,,5
2394,1728,Undirected,10471,,1
2539,1728,Undirected,10472,,2
2540,1728,Undirected,10473,,1
2559,1728,Undirected,10474,,5
2605,1728,Undirected,10475,,2
2726,1728,Undirected,10476,,7
2727,1728,Undirected,10477,,1
2975,1728,Undirected,10478,,1
3131,1728,Undirected,10479,,1
3148,1728,Undirected,10480,,2
3154,1728,Undirected,10481,,3
3219,1728,Undirected,10482,,1
3238,1728,Undirected,10483,,2
3239,1728,Undirected,10484,,1
3240,1728,Undirected,10485,,1
3249,1728,Undirected,10486,,1
4819,1728,Undirected,10487,,3
5785,1728,Undirected,10488,,1
5809,1728,Undirected,10489,,2
5825,1728,Undirected,10490,,2
5912,1728,Undirected,10491,,4
5974,1728,Undirected,10492,,3
6050,1728,Undirected,10493,,1
6193,1728,Undirected,10494,,3
6194,1728,Undirected,10495,,1
6335,1728,Undirected,10496,,2
6417,1728,Undirected,10497,,2
6427,1728,Undirected,10498,,1
6861,1728,Undirected,10499,,2
